EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
76820	Fam49a	0.172690617	0.262577947	0.450868746	0.471363533	0.673124304	0.375170495
76824	Mtfr1l	4.963482631	4.904241124	5.284304241	5.24669068	5.196581078	5.147761226
768252	Foxl2os	0.088927651	0.262577947	0.166442556	0.090044751	0.083318543	0.375170495
76826	Nubpl	2.928323097	2.72014073	3.070115477	2.857405854	2.46424212	2.699188958
76829	Dok5	0.088927651	0	0.085620241	0.090044751	0.083318543	0.103327367
76832	Hyls1	3.379862343	3.319461502	3.380750595	4.122905897	4.061377854	4.109390397
76843	Dtl	6.456960055	6.549829331	6.435299285	7.142313029	7.100189945	6.980216395
76846	Rps9	10.17981471	10.17260308	10.31336512	10.17058759	10.19852203	10.23144617
76850	Ago4	0.531124746	0.092938249	0.450868746	0.330687802	0.561319162	0.199746348
76854	Gper1	0.088927651	0.262577947	0.242976257	0.17479807	0.307788639	0.290123112
76856	Catsper3	0.466210507	0.262577947	0.574489846	0.471363533	0.083318543	0.290123112
76857	Spopl	2.928323097	2.923619444	2.903278946	4.117563113	4.18441483	3.938276723
76858	Nlrp14	0.088927651	0.180250055	0.242976257	0	0.162086862	0
76863	Dcun1d5	5.525998313	5.612024914	5.987044976	5.926724663	5.959672804	5.796297445
76866	Morn1	0.765002278	0.735869851	0.84387938	0.927247787	1.206611427	1.723206578
76867	Rhbdd1	5.07653162	5.410105006	4.673481985	5.275762277	5.020156861	4.994907933
76872	Ccdc116	0.531124746	0.949767847	0.688349116	0.599532604	0.919746992	0.738321536
76873	4930447F24Rik	0.398237264	0.180250055	0.514002991	0.090044751	0.561319162	0.290123112
76877	Rab36	0.251856015	0.262577947	0.38484472	0.17479807	0.236776323	0.199746348
76880	6430411K18Rik	0.172690617	0.092938249	0.315653629	0	0.083318543	0.199746348
76884	Cyfip2	0.709990501	0.484644238	1.303022233	1.702263892	1.923816627	1.690393029
76886	Fam81a	0.088927651	0.180250055	0	0	0	0.531557862
76889	Adck4	3.490091663	3.606293185	3.57830462	3.218473176	3.434243701	3.208134966
76890	Memo1	6.329313593	6.309571529	6.240228361	6.96476544	6.950117931	6.875548924
76892	Rnft1	2.99886827	3.309813172	3.650326558	3.555243655	3.688230349	3.519667318
76893	Cers2	6.307475552	6.430250241	6.46655703	6.11812298	6.200294917	5.963549629
76894	Mettl15	2.650094695	2.777268499	2.543585965	3.082493304	2.666915846	2.699188958
76895	Bicd2	4.751697683	4.590328049	4.683815167	5.282939555	5.380775417	5.218514772
76897	Ralyl	0	0	0.450868746	0	0.162086862	0.290123112
76898	B3gat1	0	0.180250055	0.450868746	0	0	0
76899	Golga1	3.140820884	3.021443101	3.131798328	4.175272906	3.909842891	4.090651266
76900	Ssbp4	4.299561506	4.255418794	4.760669301	5.513990301	5.692448261	5.710937492
76901	Phf15	0.326902392	0.735869851	0.74207723	1.889447983	2.416843262	2.345865074
76905	Lrg1	0.088927651	0.262577947	0	0.17479807	0	0
76915	Mnd1	2.635407417	2.376298208	2.631622844	1.96278737	2.416843262	2.067870256
76916	Timmdc1	4.738013938	4.469870429	4.659588264	4.274627823	4.378344711	4.18789311
76917	Flywch2	0.172690617	0.262577947	0.315653629	0.090044751	0.083318543	0.103327367
76920	Arrdc5	0	0	0	0.090044751	0	0.103327367
76921	1700013D24Rik	0	0	0.085620241	0.090044751	0.236776323	0
76925	1700015E13Rik	0.088927651	0	0.085620241	0.254847487	0.083318543	0.103327367
76927	Tsacc	1.223525128	1.300933662	1.372807299	0.402739632	0.826094101	1.177738913
76932	Arfip2	4.61614322	4.439222869	4.721082623	3.661861198	3.78473745	3.791286847
76933	Ifi27l2a	0	0	0	0	0.162086862	0.199746348
76936	Hnrnpm	7.903414958	7.846102539	8.252410318	8.543004273	8.503607911	8.594035043
76937	2810429I04Rik	0.251856015	0	0	0	0.162086862	0.103327367
76938	Rbm17	6.50015995	6.515614317	6.790407986	6.085656726	6.182691128	6.072612786
76942	Lypd5	0	0.092938249	0	0	0	0
76943	Psapl1	0	0.092938249	0.085620241	0	0	0
76947	Ndufaf6	2.52818374	2.533784925	2.741224899	1.785475879	2.153231234	2.042092585
76952	Nt5c2	5.559448893	5.214563545	5.674596575	5.575685039	5.785576301	5.502272629
76954	St5	4.340885409	4.084883296	4.379247136	4.823084732	4.47792981	4.827696481
76959	Chmp5	5.081958062	5.145728273	5.064683863	5.634849333	5.610553842	5.499907432
76960	Bcas1	0.326902392	0.414352757	0.315653629	0.330687802	0.307788639	0.199746348
76961	2210420H20Rik	0	0	0	0	0	0
76964	2610028H24Rik	1.300021018	1.300933662	1.070794101	1.021800343	1.314003768	1.39695983
76965	Slitrk1	0	0	0.166442556	0.090044751	0.162086862	0.375170495
76967	2700049A03Rik	4.449826897	4.452437338	4.477551656	4.816504992	4.816070789	4.685079677
76969	Chst1	0.088927651	0.180250055	0.315653629	0.254847487	0.307788639	0.45548218
76971	2810007J24Rik	0.088927651	0	0.085620241	0	0	0.199746348
76972	2810008D09Rik	2.209148286	2.240695106	2.903278946	2.055111212	2.228368796	2.303095363
76974	Urah	0	0	0.085620241	0	0	0
76976	Arxes2	0.765002278	1.179041197	0.632542429	0.717238372	0.964388083	0.86134423
76980	Ube2ql1	0	0.180250055	0.166442556	0.17479807	0.236776323	0.103327367
76982	3110035E14Rik	0.172690617	0.180250055	0.085620241	0.090044751	0.440115989	0
76983	Scfd1	4.724199162	4.865249498	4.873301466	4.572812832	4.648359278	4.54067589
