wt_rep1	wt_rep2	wt_rep3	wt_rep4	KO_rep1	KO_rep2	KO_rep3	KO_rep4	gene
872	863	803	752	302	329	316	330	AB124611_ENSMUSG00000057191
0	0	0	0	0	0	0	0	AF067061_ENSMUSG00000095071
0	0	0	0	0	0	0	0	AF067063_ENSMUSG00000094237
0	0	0	0	0	0	0	0	AF366264_ENSMUSG00000057116
2	4	2	2	7	4	3	4	AI182371_ENSMUSG00000035875
201	167	185	186	525	497	511	509	AI413582_ENSMUSG00000062753
0	0	0	0	0	0	0	0	AI429214_ENSMUSG00000074384
858	754	908	870	510	540	548	493	AI467606_ENSMUSG00000045165
0	0	0	0	0	0	0	0	AI593442_ENSMUSG00000078307
309	307	328	368	474	565	511	479	AI597479_ENSMUSG00000010290
0	0	0	0	0	1	0	0	AI661453_ENSMUSG00000034382
390	355	354	330	352	397	402	350	AI837181_ENSMUSG00000047423
0	6	3	5	14	20	12	10	AI987944_ENSMUSG00000056383
0	0	0	0	0	0	0	0	AU018091_ENSMUSG00000054753
0	0	0	0	0	0	0	0	AU021092_ENSMUSG00000051669
352	336	281	308	480	477	464	430	AU022252_ENSMUSG00000078584
0	0	0	0	0	0	0	0	AU022751_ENSMUSG00000073294
